key,agency,level,min,max
AAT,Administrative Appeals Tribunal,APS1,49577,54791
ABCC,Australian Building & Construction Commission,APS1,53986,56120
ABS,Australian Bureau of Statistics,APS1,47739,54389
ACCC,Australian Competition & Consumer Commission,APS1,51996,57472
ACIAR,Australian Centre for International Agricultural Research,APS1,50878,56042
ACIC,Australian Criminal Intelligence Commission,APS1,48985,54140
ACLEI,Australian Commission for Law Enforcement Integrity,APS1,49749,54983
ACMA,Australian Communications & Media Authority,APS1,49902,54996
ACQSC,Aged Care Quality & Safety Commission,APS1,48688,54681
ACSQHC,Australian Commission on Safety & Quality in Health Care,APS1,49608,55714
ADHA,Australian Digital Health Agency,APS1,49467,55555
AEC,Australian Electoral Commission,APS1,49404,54604
AFMA,Australian Fisheries Management Authority,APS1,48830,57064
AFSA,Australian Financial Security Authority,APS1,50941,56302
AG,Attorney-General's Department,APS1,50984,56345
AHL,Aboriginal Hostels Ltd,APS1,48863,48863
AHRC,Australian Human Rights Commission,APS1,48384,54524
AIATSIS,Australian Institute of Aboriginal & Torres Strait Islander Studies,APS1,46641,50744
AIFS,Australian Institute of Family Studies,APS1,48842,53981
AIHW,Australian Institute of Health & Welfare,APS1,48826,54774
ALRC,Australian Law Reform Commission,APS1,47885,56792
ANAO,Australian National Audit Office,APS1,51312,62375
ANMM,Australian National Maritime Museum,APS1,47885,50812
APSC,Australian Public Service Commission,APS1,48729,50409
APVMA,Australian Pesticides & Veterinary Medicines Authority,APS1,53985,56731
ARC,Australian Research Council,APS1,53044,54402
ARPANSA,Australian Radiation Protection & Nuclear Safety Agency,APS1,49929,56754
ASEA,Asbestos Safety & Eradication Agency,APS1,51955,56805
ASQA,Australian Skills Quality Authority,APS1,53487,54377
ATO,Australian Taxation Office,APS1,52506,57988
ATSB,Australian Transport Safety Bureau,APS1,50119,55204
AUSTRAC,Australian Transaction Reports & Analysis Centre,APS1,53481,58525
AUSTRADE,Austrade,APS1,55919,55919
AWM,Australian War Memorial,APS1,47861,52893
BOM,Bureau of Meteorology,APS1,48022,53438
Cancer,Cancer Australia,APS1,48862,54514
CCA,Climate Change Authority,APS1,50328,53848
CER,Clean Energy Regulator,APS1,51572,58494
CGC,Commonwealth Grants Commission,APS1,49099,54986
Comcare,Comcare,APS1,51562,56400
DAFF,"Department of Agriculture, Fisheries & Forestry",APS1,48952,51888
DCCEEW,"Department of Climate Change, Energy, the Environment & Water",APS1,48952,51888
Defence,Department of Defence,APS1,50227,56382
DESE,Department of Education,APS1,53262,58237
DEWR,Department of Employment & Workplace Relations,APS1,53262,58237
DFAT,Department of Foreign Affairs & Trade,APS1,51260,55983
DFSVA,"Domestic, Family & Sexual Violence Commission",APS1,48072,53795
DHA,Defence Housing Australia,APS1,55293,61832
DPP,Office of the Director of Public Prosecutions,APS1,48905,54792
DSS,Department of Social Services,APS1,49514,55409
DTA,Digital Transformation Agency,APS1,50336,55277
DVA,Department of Veterans' Affairs,APS1,51737,57956
FED,Federal Court of Australia,APS1,47776,52800
Finance,Department of Finance,APS1,51407,59288
FSANZ,Food Standards Australia New Zealand,APS1,49454,55468
FWC,Fair Work Commission,APS1,52418,54488
GBRMPA,Great Barrier Reef Marine Park Authority,APS1,45205,56259
Geoscience,Geoscience Australia,APS1,47884,47884
Health,Department of Health,APS1,49612,55719
Home Affairs,Department of Home Affairs,APS1,48693,53957
Industry,"Department of Industry, Science & Resources",APS1,51179,56129
Infrastructure,"Department of Infrastructure, Transport, Regional Development & Communications",APS1,50014,55089
IPA,IP Australia,APS1,50512,56036
IPEA,Independent Parliamentary Expenses Authority,APS1,50399,57871
MDBA,Murray-Darling Basin Authority,APS1,50229,54666
NAA,National Archives of Australia,APS1,50146,55172
NBA,National Blood Authority,APS1,48998,55046
NCA,National Capital Authority,APS1,45547,50340
NDIA,National Disability Insurance Agency,APS1,47610,54478
NDISQSC,NDIS Quality & Safeguards Commission,APS1,48862,54376
NEMA,National Recovery & Resilience Agency,APS1,50386,55092
NFRA,National Faster Rail Agency,APS1,50014,55089
NFSA,National Film & Sound Archive of Australia,APS1,47979,52944
NHFB,National Health Funding Body,APS1,48683,54678
NHMRC,National Health & Medical Research Council,APS1,48168,54096
NIAA,National Indigenous Australians Agency,APS1,52266,57150
NLA,National Library of Australia,APS1,48123,53189
NMA,National Museum of Australia,APS1,47585,52593
NMHC,National Mental Health Commission,APS1,50297,55279
NPG,National Portrait Gallery of Australia,APS1,50995,56356
NQWIA,North Queensland Water Infrastructure Authority,APS1,50014,55089
OAIC,Office of the Australian Information Commissioner,APS1,49266,55861
OFWO,Fair Work Ombudsman,APS1,54449,56582
OIGIS,Office of the Inspector-General of Intelligence & Security,APS1,52353,56085
OIGOT,Inspector-General of Taxation,APS1,50996,55378
OMB,Office of the Commonwealth Ombudsman,APS1,48741,53873
ONI,Office of National Intelligence,APS1,53272,58689
OPC,Office of Parliamentary Counsel,APS1,51784,57230
OPH,Old Parliament House,APS1,47553,53431
OTA,Organ & Tissue Authority,APS1,49613,55719
PC,Productivity Commission,APS1,46849,52157
PMC,Department of the Prime Minister & Cabinet,APS1,52266,57150
PSR,Professional Services Review,APS1,47971,53874
RAM,Royal Australian Mint,APS1,50224,54084
SA,Screen Australia,APS1,47692,52709
Services Australia,Services Australia,APS1,51471,55188
SIA,Sport Integrity Australia,APS1,48862,50794
SWA,Safe Work Australia,APS1,53568,58573
TEQSA,Tertiary Education Quality & Standards Agency,APS1,51290,56080
Treasury,Treasury,APS1,51003,55385
TSRA,Torres Strait Regional Authority,APS1,48862,53205
WGEA,Workplace Gender Equality Agency,APS1,51103,56183
AAT,Administrative Appeals Tribunal,APS2,56106,63116
ABCC,Australian Building & Construction Commission,APS2,61232,67056
ABS,Australian Bureau of Statistics,APS2,54592,61556
ACCC,Australian Competition & Consumer Commission,APS2,58842,65250
ACIAR,Australian Centre for International Agricultural Research,APS2,57342,63392
ACIC,Australian Criminal Intelligence Commission,APS2,56273,62399
ACLEI,Australian Commission for Law Enforcement Integrity,APS2,56304,62433
ACMA,Australian Communications & Media Authority,APS2,56096,61879
ACQSC,Aged Care Quality & Safety Commission,APS2,56902,62096
